Tên,Nội dung,Quận/huyện,Tỉnh/thành phố,Nguồn,Hình ảnh,Bổ sung
TS.BS. Uông Thanh Tùng,"Trưởng khoa Phẫu thuật Tạo hình, Bệnh viện Đa khoa Xanh Pôn
Thế mạnh chuyên môn: Hút mỡ; Nâng ngực nội soi đường nách; treo sa trễ; Tạo hình thành bụng",,Hà Nội,https://bvxanhpon.vn/khoa-phau-thuat-tao-hinh/156-715.aspx,https://bvxanhpon.vn/Images/companies/bvxanhpon/Ky%20yeu/tung%20tao%20hinh.png,"Cơ sở y tế: Bệnh viện Xanh Pôn
Facebook: https://www.facebook.com/p/Ti%E1%BA%BFn-s%C4%A9-U%C3%B4ng-Thanh-T%C3%B9ng-tr%C6%B0%E1%BB%9Fng-khoa-PTTM-B%E1%BB%87nh-vi%E1%BB%87n-%C4%90a-khoa-Xanh-P%C3%B4n-61550915786628/?locale=vi_VN; https://www.facebook.com/bacsy.uongthanhtung/?locale=vi_VN
Ảnh trước/sau (hút mỡ bụng/đùi): https://cdn.bookingcare.vn/fo/w640/2025/04/24/105015-bs-uong-thanh-tung-hut-mo-bung-dui.jpg
Ảnh trước/sau (nâng ngực): https://cdn.bookingcare.vn/fo/w640/2025/04/24/105010-ts-uong-thanh-tung-nang-nguc.jpg"
TS.BS. Nguyễn Vũ Hoàng,"Phó Trưởng khoa Phẫu thuật Tạo hình, Bệnh viện Đa khoa Xanh Pôn
20 năm kinh nghiệm trong lĩnh vực tạo hình thẩm mỹ
Được đào tạo về Phẫu thuật tạo hình thẩm mỹ tại Singapore (2011), Hàn Quốc (2015), Hoa Kỳ (2016)",,Hà Nội,https://bvxanhpon.vn/khoa-phau-thuat-tao-hinh/156-715.aspx,https://bvxanhpon.vn/Images/companies/bvxanhpon/Ky%20yeu/hoang%20tao%20hinh.png,Cơ sở y tế: Bệnh viện Xanh Pôn
